campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,mes_inicio,mes_fin,año_inicio,año_fin,trimestre_inicio,trimestre_fin,roi_category,conversion_rate_category,performance_category,cost_per_conversion
Multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,0.58,podcast,B2B,referral,0.23,406522.77,312438.56,6,6,2023,2024,2,2,Medio,Bajo,Regular,409061.7826086957
Cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,0.16,social media,B2B,promotion,0.55,174462.47,110421.1,7,11,2023,2023,3,4,Bajo,Medio,Regular,116438.85454545454
Networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,0.58,social media,B2B,organic,0.95,680416.9,631041.0900000001,3,9,2023,2023,1,3,Medio,Alto,Bueno,51974.53684210526
Optional actuating standardization,2023-07-04,2024-05-06,14810.62,0.94,webinar,B2B,referral,0.45,477528.27,462717.65,7,5,2023,2024,3,2,Alto,Medio,Bueno,32912.48888888889
Innovative web-enabled function,2022-11-05,2023-09-05,36848.3,0.92,webinar,B2C,referral,0.1,4190.95,-32657.350000000002,11,9,2022,2023,4,3,Alto,Bajo,Regular,368483.0
Configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.23,email,B2B,referral,0.92,23176.85,1666.4199999999983,3,11,2023,2023,1,4,Bajo,Alto,Regular,23380.902173913044
Cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,0.52,podcast,B2C,paid,0.65,386133.95,286613.02,9,1,2022,2024,3,1,Medio,Alto,Bueno,153109.12307692308
Intuitive didactic installation,2023-06-24,2024-03-27,19213.46,0.17,email,B2B,organic,0.96,925274.53,906061.0700000001,6,3,2023,2024,2,1,Bajo,Alto,Regular,20014.020833333332
Fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,0.38,email,B2B,promotion,0.79,460559.74,442986.51,7,8,2023,2023,3,3,Medio,Alto,Bueno,22244.594936708858
De-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,0.45,email,B2C,promotion,0.1,292885.55,267489.14999999997,9,5,2022,2024,3,2,Medio,Bajo,Regular,253964.0
Managed upward-trending website,2023-02-07,2024-02-07,34644.22,0.2,podcast,B2B,referral,0.72,478980.33,444336.11,2,2,2023,2024,1,1,Bajo,Alto,Regular,48116.972222222226
Self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,0.69,webinar,B2B,organic,0.91,974038.96,913764.37,4,1,2023,2024,2,1,Alto,Alto,Excelente,66235.81318681317
Cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,0.9,email,B2B,promotion,0.96,435524.36,355843.74,1,7,2023,2024,1,3,Alto,Alto,Excelente,83000.64583333333
Future-proofed local forecast,2023-08-01,2023-08-11,46775.63,0.67,webinar,B2B,referral,0.75,814672.28,767896.65,8,8,2023,2023,3,3,Alto,Alto,Excelente,62367.50666666666
Horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,0.21,social media,B2B,promotion,0.87,41004.95,-7361.550000000003,8,7,2022,2024,3,3,Bajo,Alto,Regular,55593.67816091954
Inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,0.16,podcast,B2C,organic,0.16,390736.64,305763.24,6,1,2023,2024,2,1,Bajo,Bajo,Regular,531083.75
Polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,0.98,email,B2C,organic,0.43,463541.48,426196.77999999997,2,11,2023,2023,1,4,Alto,Medio,Bueno,86848.13953488371
Managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,0.23,email,B2C,promotion,0.83,456537.4,442145.42000000004,7,10,2023,2023,3,4,Bajo,Alto,Regular,17339.734939759037
Seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,0.63,email,B2B,organic,0.18,14073.59,-85765.04000000001,11,10,2022,2023,4,4,Alto,Bajo,Regular,554659.0555555556
Networked local adapter,2022-10-17,2024-07-03,29076.12,0.61,social media,B2B,referral,0.1,948309.55,919233.43,10,7,2022,2024,4,3,Alto,Bajo,Regular,290761.19999999995
Open-architected neutral open system,2023-04-19,2023-09-20,87963.28,0.69,podcast,B2B,promotion,0.57,993906.77,905943.49,4,9,2023,2023,2,3,Alto,Medio,Bueno,154321.54385964913
Secured optimal website,2023-05-25,2023-12-12,53935.8,0.44,social media,B2C,paid,0.4,958654.12,904718.32,5,12,2023,2023,2,4,Medio,Medio,Bueno,134839.5
Seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,0.21,email,B2B,paid,0.56,932824.61,861547.51,8,7,2022,2024,3,3,Bajo,Medio,Regular,127280.53571428571
Configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,0.53,social media,B2C,paid,0.15,430007.3,414039.1,10,3,2022,2024,4,1,Medio,Bajo,Regular,106454.66666666667
Customizable directional paradigm,2023-01-20,2023-08-16,54468.41,0.7,social media,B2C,paid,0.7,924154.29,869685.88,1,8,2023,2023,1,3,Alto,Alto,Excelente,77812.0142857143
Cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,0.34,podcast,B2B,promotion,0.8,72323.84,42930.06,7,2,2023,2024,3,1,Medio,Alto,Bueno,36742.225
Vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,0.9,email,B2B,referral,0.28,42048.95,32901.159999999996,11,3,2022,2024,4,1,Alto,Bajo,Regular,32670.678571428572
Ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,0.6,social media,B2B,organic,0.65,482216.95,413415.73,12,3,2022,2024,4,1,Medio,Alto,Bueno,105848.03076923077
Vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,1309.17,0.91,podcast,B2C,organic,0.27,273231.88,271922.71,1,4,2023,2024,1,2,Alto,Bajo,Regular,4848.777777777777
Ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,0.74,social media,B2B,organic,0.1,704768.1,677599.5,4,8,2023,2023,2,3,Alto,Bajo,Regular,271685.99999999994
Programmable executive workforce,2022-11-22,2024-07-01,39682.9,0.95,webinar,B2B,paid,0.7,116505.36,76822.45999999999,11,7,2022,2024,4,3,Alto,Alto,Excelente,56689.857142857145
Cross-group user-facing application,2023-02-27,2024-01-06,89227.7,0.9,podcast,B2C,promotion,0.0,617379.96,528152.26,2,1,2023,2024,1,1,Alto,Bajo,Regular,inf
Secured systematic architecture,2022-11-26,2024-04-16,96917.97,0.55,podcast,B2C,promotion,0.39,571977.28,475059.31000000006,11,4,2022,2024,4,2,Medio,Medio,Bueno,248507.61538461538
Seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,0.84,webinar,B2B,organic,0.9,984261.3,955937.89,9,12,2022,2023,3,4,Alto,Alto,Excelente,31470.455555555556
Intuitive directional website,2023-06-15,2024-01-07,63656.18,0.17,podcast,B2B,referral,0.4,77500.94,13844.760000000002,6,1,2023,2024,2,1,Bajo,Medio,Regular,159140.44999999998
Mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,0.51,podcast,B2B,organic,0.98,210953.33,141869.22999999998,2,7,2023,2024,1,3,Medio,Alto,Bueno,70493.97959183675
Organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,0.5,email,B2B,paid,0.26,477907.76,412460.35,7,10,2023,2023,3,4,Medio,Bajo,Regular,251720.8076923077
User-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,0.99,email,B2B,organic,0.97,658107.7,637779.1699999999,4,3,2023,2024,2,1,Alto,Alto,Excelente,20957.24742268041
Programmable discrete intranet,2023-03-05,2024-02-13,8041.9,0.5,social media,B2B,paid,0.96,567808.35,559766.45,3,2,2023,2024,1,1,Medio,Alto,Bueno,8376.979166666666
Future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,0.39,webinar,B2C,promotion,0.75,472138.22,453107.52999999997,12,11,2022,2023,4,4,Medio,Alto,Bueno,25374.25333333333
Re-engineered solution-oriented core,2022-10-20,2024-02-11,6124.7,0.87,email,B2B,referral,0.67,397435.21,391310.51,10,2,2022,2024,4,1,Alto,Alto,Excelente,9141.34328358209
Diverse grid-enabled forecast,2022-11-18,2023-11-18,11271.19,0.96,social media,B2C,referral,0.81,538367.39,527096.2000000001,11,11,2022,2023,4,4,Alto,Alto,Excelente,13915.04938271605
Function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,0.64,email,B2C,organic,0.24,570246.17,542042.3300000001,12,3,2022,2024,4,1,Alto,Bajo,Regular,117516.0
User-centric holistic firmware,2022-08-06,2024-03-12,99957.15,0.63,webinar,B2C,referral,0.62,430498.24,330541.08999999997,8,3,2022,2024,3,1,Alto,Alto,Excelente,161221.20967741933
Virtual real-time architecture,2023-06-06,2023-12-25,27675.42,0.7,email,B2B,paid,0.1,672667.53,644992.11,6,12,2023,2023,2,4,Alto,Bajo,Regular,276754.19999999995
Open-source 6thgeneration secured line,2023-03-07,2023-09-30,12480.75,0.9,podcast,B2B,promotion,0.82,847778.95,835298.2,3,9,2023,2023,1,3,Alto,Alto,Excelente,15220.426829268294
Reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,0.93,email,B2C,organic,0.64,816593.62,732474.29,4,6,2023,2024,2,2,Alto,Alto,Excelente,131436.453125
Fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,6658.22,0.64,webinar,B2C,promotion,0.3,273952.77,267294.55000000005,9,1,2022,2024,3,1,Alto,Bajo,Regular,22194.06666666667
Organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,0.2,podcast,B2B,promotion,0.2,683796.77,629970.56,10,4,2022,2024,4,2,Bajo,Bajo,Regular,269131.05
Centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,0.56,webinar,B2C,promotion,0.14,364648.39,279523.39,7,8,2023,2023,3,3,Medio,Bajo,Regular,608035.7142857142
Persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,0.6,social media,B2C,paid,0.3,29575.48,-49645.32000000001,6,1,2023,2024,2,1,Medio,Bajo,Regular,264069.3333333334
Multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,0.67,social media,B2C,paid,0.85,489015.27,442454.77,4,8,2023,2023,2,3,Alto,Alto,Excelente,54777.05882352941
Re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,0.84,social media,B2C,referral,0.98,383111.17,326260.55,7,4,2023,2024,3,2,Alto,Alto,Excelente,58010.83673469388
Right-sized tangible product,2022-11-09,2024-02-16,94856.15,0.84,email,B2B,referral,0.23,283711.16,188855.00999999998,11,2,2022,2024,4,1,Alto,Bajo,Regular,412418.0434782608
Diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,0.6,email,B2B,promotion,0.76,749909.68,656526.05,10,8,2022,2023,4,3,Medio,Alto,Bueno,122873.19736842105
Intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,0.47,social media,B2B,referral,0.26,429790.1,403606.52999999997,2,9,2023,2023,1,3,Medio,Bajo,Regular,100706.03846153845
Diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,0.9,email,B2B,promotion,0.78,852334.6,753206.24,8,1,2022,2024,3,1,Alto,Alto,Excelente,127087.64102564102
Enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,0.9,webinar,B2B,referral,0.81,872159.47,791511.83,8,4,2022,2024,3,2,Alto,Alto,Excelente,99564.98765432098
Function-based systematic emulation,2023-03-02,2024-07-12,30883.42,0.63,social media,B2B,paid,0.37,873342.13,842458.71,3,7,2023,2024,1,3,Alto,Medio,Bueno,83468.70270270269
Managed asymmetric array,2022-10-14,2024-07-06,24998.61,0.4,webinar,B2C,organic,0.39,71257.79,46259.17999999999,10,7,2022,2024,4,3,Medio,Medio,Bueno,64099.0
Enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,0.26,social media,B2B,promotion,0.93,211910.58,147790.77,9,9,2022,2023,3,3,Bajo,Alto,Regular,68946.03225806452
Adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,0.49,social media,B2C,paid,0.82,850376.61,789781.76,5,3,2023,2024,2,1,Medio,Alto,Bueno,73896.15853658537
Networked zero administration model,2022-11-01,2023-11-06,22411.36,0.51,webinar,B2C,organic,0.4,102385.82,79974.46,11,11,2022,2023,4,4,Medio,Medio,Bueno,56028.4
Seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,0.74,webinar,B2B,promotion,0.45,871834.53,823928.2100000001,8,10,2022,2023,3,4,Alto,Medio,Bueno,106458.48888888888
Exclusive radical installation,2022-08-09,2023-10-10,28548.76,0.28,email,B2C,promotion,0.6,181056.53,152507.77,8,10,2022,2023,3,4,Bajo,Medio,Regular,47581.26666666666
Intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,0.72,email,B2B,referral,0.16,846562.3,802310.87,8,5,2022,2024,3,2,Alto,Bajo,Regular,276571.4375
Compatible stable extranet,2022-12-24,2023-11-13,32895.11,0.8,podcast,B2C,referral,0.1,136858.12,103963.01,12,11,2022,2023,4,4,Alto,Bajo,Regular,328951.1
Progressive secondary synergy,2022-11-08,2024-04-06,55985.9,0.9,social media,B2B,organic,0.59,505421.93,449436.02999999997,11,4,2022,2024,4,2,Alto,Medio,Bueno,94891.3559322034
Sharable next generation ability,2022-12-15,2024-02-19,23212.27,0.13,webinar,B2C,referral,0.49,830178.2,806965.9299999999,12,2,2022,2024,4,1,Bajo,Medio,Regular,47371.97959183674
Devolved value-added support,2023-07-02,2024-02-13,42051.6,0.32,email,B2B,referral,0.25,287690.5,245638.9,7,2,2023,2024,3,1,Medio,Bajo,Regular,168206.4
Front-line full-range matrices,2022-08-04,2023-08-10,79829.52,0.69,email,B2B,paid,0.7,472828.97,392999.44999999995,8,8,2022,2023,3,3,Alto,Alto,Excelente,114042.17142857144
Grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,0.28,podcast,B2C,organic,0.45,455474.93,359305.27,4,4,2023,2024,2,2,Bajo,Medio,Regular,213710.35555555555
Implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,0.79,email,B2C,organic,0.1,619138.31,546416.0900000001,2,6,2023,2024,1,2,Alto,Bajo,Regular,727222.2
Reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,0.16,webinar,B2C,referral,0.8,27754.76,-24370.44,2,2,2023,2024,1,1,Bajo,Alto,Regular,65156.49999999999
Open-source maximized projection,2023-03-23,2024-03-22,77340.13,0.53,webinar,B2B,referral,0.74,347402.29,270062.16,3,3,2023,2024,1,1,Medio,Alto,Bueno,104513.6891891892
Intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,0.23,webinar,B2C,promotion,0.7,244772.45,147008.94,12,8,2022,2023,4,3,Bajo,Alto,Regular,139662.15714285715
Virtual 4thgeneration Graphical User Interface,2023-07-27,2024-03-27,15463.29,0.38,social media,B2B,promotion,0.6,963251.51,947788.22,7,3,2023,2024,3,1,Medio,Medio,Bueno,25772.15
Reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,0.82,email,B2B,referral,0.83,536138.69,484928.30999999994,12,8,2022,2023,4,3,Alto,Alto,Excelente,61699.25301204819
Enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,0.67,email,B2B,paid,0.3,508865.73,492799.32,5,9,2023,2023,2,3,Alto,Bajo,Regular,53554.700000000004
Stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,0.83,social media,B2C,referral,0.77,828963.15,739579.96,10,3,2022,2024,4,1,Alto,Alto,Excelente,116082.06493506493
Open-source coherent archive,2022-08-18,2024-06-11,46558.0,0.88,podcast,B2B,organic,0.4,315646.86,269088.86,8,6,2022,2024,3,2,Alto,Medio,Bueno,116395.0
Future-proofed coherent core,2022-09-14,2024-05-08,62178.3,0.28,social media,B2C,paid,0.2,317338.48,255160.18,9,5,2022,2024,3,2,Bajo,Bajo,Regular,310891.5
Decentralized radical emulation,2022-09-18,2024-04-23,20201.5,0.76,webinar,B2B,promotion,0.89,335385.42,315183.92,9,4,2022,2024,3,2,Alto,Alto,Excelente,22698.314606741573
Team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,0.26,social media,B2C,organic,0.55,470023.84,426379.85000000003,11,1,2022,2024,4,1,Bajo,Medio,Regular,79352.70909090908
Expanded tangible capacity,2023-06-26,2024-05-07,20647.17,0.87,email,B2B,organic,0.78,759838.76,739191.59,6,5,2023,2024,2,2,Alto,Alto,Excelente,26470.730769230766
Secured methodical system engine,2023-05-30,2024-05-08,29781.93,0.51,webinar,B2C,paid,0.46,567832.12,538050.19,5,5,2023,2024,2,2,Medio,Medio,Bueno,64743.32608695652
Synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,0.87,podcast,B2C,referral,0.18,643537.76,554534.35,4,11,2023,2023,2,4,Alto,Bajo,Regular,494463.38888888893
Programmable dedicated ability,2022-10-18,2024-03-26,34838.17,0.55,podcast,B2B,promotion,0.22,286374.76,251536.59000000003,10,3,2022,2024,4,1,Medio,Bajo,Regular,158355.31818181818
Public-key dynamic synergy,2023-03-03,2023-11-16,8209.8,0.91,webinar,B2B,paid,0.78,725706.76,717496.96,3,11,2023,2023,1,4,Alto,Alto,Excelente,10525.384615384613
Synergistic actuating benchmark,2022-12-14,2023-08-20,13024.35,0.2,email,B2C,organic,0.99,882368.6,869344.25,12,8,2022,2023,4,3,Bajo,Alto,Regular,13155.909090909092
Optional client-driven approach,2022-12-30,2024-07-02,9180.95,0.39,webinar,B2C,organic,0.97,93102.44,83921.49,12,7,2022,2024,4,3,Medio,Alto,Bueno,9464.896907216496
Cloned exuding matrices,2023-06-03,2024-07-16,46215.77,0.65,email,B2C,paid,0.63,326486.31,280270.54,6,7,2023,2024,2,3,Alto,Alto,Excelente,73358.36507936507
Expanded zero tolerance adapter,2022-09-19,2024-05-07,80474.62,0.86,email,B2C,organic,0.7,394021.52,313546.9,9,5,2022,2024,3,2,Alto,Alto,Excelente,114963.74285714286
Persistent incremental installation,2022-12-22,2024-01-27,12789.78,0.73,email,B2C,paid,0.4,516246.2,503456.42,12,1,2022,2024,4,1,Alto,Medio,Bueno,31974.45
Integrated full-range encoding,2023-06-18,2024-03-01,42818.39,0.12,email,B2B,promotion,0.14,778282.87,735464.48,6,3,2023,2024,2,1,Bajo,Bajo,Regular,305845.64285714284
Total system-worthy framework,2023-01-16,2023-08-10,77090.58,0.67,email,B2C,organic,0.1,818026.22,740935.64,1,8,2023,2023,1,3,Alto,Bajo,Regular,770905.7999999999
Persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,10659.15,0.7,email,B2B,promotion,0.84,506589.58,495930.43,1,8,2023,2023,1,3,Alto,Alto,Excelente,12689.464285714286
Self-enabling explicit interface,2023-01-23,2024-06-19,71211.28,0.85,email,B2B,referral,0.94,628222.4,557011.12,1,6,2023,2024,1,2,Alto,Alto,Excelente,75756.68085106384
User-centric responsive software,2022-09-24,2023-08-04,55105.95,0.39,email,B2B,paid,0.65,980593.34,925487.39,9,8,2022,2023,3,3,Medio,Alto,Bueno,84778.38461538461
Enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,22701.3,0.21,email,B2C,promotion,0.86,89740.19,67038.89,1,1,2023,2024,1,1,Bajo,Alto,Regular,26396.86046511628
Upgradable transitional productivity,2022-12-25,2024-05-12,28460.11,0.0,social media,B2B,paid,0.37,593949.35,565489.24,12,5,2022,2024,4,2,Bajo,Medio,Regular,76919.21621621621
Assimilated asynchronous project,2023-03-30,2024-06-25,81474.69,0.34,email,B2B,paid,0.98,116549.43,35074.73999999999,3,6,2023,2024,1,2,Medio,Alto,Bueno,83137.4387755102
Reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,99406.41,0.77,webinar,B2B,promotion,0.3,485297.93,385891.52,10,12,2022,2023,4,4,Alto,Bajo,Regular,331354.7
Networked bi-directional help-desk,2023-03-23,2023-09-24,89764.52,0.5,podcast,B2C,organic,0.8,346320.53,256556.01,3,9,2023,2023,1,3,Medio,Alto,Bueno,112205.65
Diverse exuding superstructure,2022-09-07,2023-11-04,11769.71,0.63,webinar,B2B,paid,0.24,155142.36,143372.65,9,11,2022,2023,3,4,Alto,Bajo,Regular,49040.45833333333
Organized directional service-desk,2022-10-17,2024-05-11,44085.8,0.97,webinar,B2B,referral,0.71,88806.24,44720.44,10,5,2022,2024,4,2,Alto,Alto,Excelente,62092.67605633804
Balanced 24hour intranet,2022-09-15,2024-04-11,31712.22,0.5,email,B2C,paid,0.12,523802.73,492090.51,9,4,2022,2024,3,2,Medio,Bajo,Regular,264268.5
Reactive well-modulated portal,2023-02-04,2023-09-02,34455.95,0.4,social media,B2B,organic,0.6,601996.12,567540.17,2,9,2023,2023,1,3,Medio,Medio,Bueno,57426.58333333333
Realigned intangible application,2023-07-06,2024-01-24,31468.43,0.47,email,B2B,promotion,0.48,147390.21,115921.78,7,1,2023,2024,3,1,Medio,Medio,Bueno,65559.22916666667
Front-line web-enabled orchestration,2023-01-12,2024-06-13,89740.86,0.37,social media,B2C,paid,0.21,477285.33,387544.47000000003,1,6,2023,2024,1,2,Medio,Bajo,Regular,427337.4285714286
Polarized upward-trending frame,2023-03-23,2024-05-23,6806.2,0.55,webinar,B2B,paid,0.78,519790.34,512984.14,3,5,2023,2024,1,2,Medio,Alto,Bueno,8725.897435897436
Persevering content-based archive,2022-12-27,2024-01-04,21795.27,0.55,social media,B2B,promotion,0.89,397630.37,375835.1,12,1,2022,2024,4,1,Medio,Alto,Bueno,24489.067415730337
De-engineered content-based budgetary management,2022-09-10,2023-10-06,29328.34,0.4,social media,B2B,promotion,0.47,92788.7,63460.36,9,10,2022,2023,3,4,Medio,Medio,Bueno,62400.723404255325
Inverse well-modulated forecast,2023-07-22,2024-07-11,7632.49,0.12,webinar,B2B,organic,0.62,782850.48,775217.99,7,7,2023,2024,3,3,Bajo,Alto,Regular,12310.467741935483
Progressive web-enabled concept,2022-11-16,2024-05-17,46890.76,0.26,webinar,B2B,organic,0.64,258942.95,212052.19,11,5,2022,2024,4,2,Bajo,Alto,Regular,73266.8125
Visionary 4thgeneration help-desk,2022-11-23,2024-05-26,81853.53,0.54,webinar,B2C,referral,0.17,974972.63,893119.1,11,5,2022,2024,4,2,Medio,Bajo,Regular,481491.35294117645
Up-sized attitude-oriented task-force,2023-07-02,2024-04-07,46635.4,0.4,social media,B2C,promotion,0.46,692709.3,646073.9,7,4,2023,2024,3,2,Medio,Medio,Bueno,101381.30434782608
Sharable secondary migration,2023-04-04,2023-09-21,31531.6,0.5,webinar,B2C,referral,0.68,551172.95,519641.35,4,9,2023,2023,2,3,Medio,Alto,Bueno,46369.99999999999
Quality-focused methodical policy,2022-10-23,2023-10-10,51428.64,0.26,social media,B2C,referral,0.28,110819.1,59390.46000000001,10,10,2022,2023,4,4,Bajo,Bajo,Regular,183673.71428571426
Distributed multimedia encryption,2022-08-16,2024-01-22,83726.63,0.5,webinar,B2B,organic,0.13,458296.26,374569.63,8,1,2022,2024,3,1,Medio,Bajo,Regular,644051.0
Switchable user-facing archive,2022-10-22,2024-06-11,85417.27,0.78,webinar,B2C,referral,0.74,509606.8,424189.52999999997,10,6,2022,2024,4,2,Alto,Alto,Excelente,115428.74324324325
Virtual bottom-line parallelism,2022-08-16,2023-09-05,44082.14,0.5,email,B2C,organic,0.49,903002.29,858920.15,8,9,2022,2023,3,3,Medio,Medio,Bueno,89963.55102040817
Customer-focused mobile Graphic Interface,2023-01-19,2023-11-21,61946.3,0.89,webinar,B2C,paid,0.85,217755.18,155808.88,1,11,2023,2023,1,4,Alto,Alto,Excelente,72878.0
Networked asynchronous standardization,2023-06-06,2024-01-06,50168.89,0.14,email,B2B,referral,0.67,610750.16,560581.27,6,1,2023,2024,2,1,Bajo,Alto,Regular,74878.94029850746
Persevering coherent concept,2022-09-15,2023-12-13,54331.15,0.5,social media,B2B,promotion,0.39,992544.71,938213.5599999999,9,12,2022,2023,3,4,Medio,Medio,Bueno,139310.64102564103
Secured systemic groupware,2022-08-28,2023-10-17,72529.72,0.83,email,B2C,referral,0.24,97176.72,24647.0,8,10,2022,2023,3,4,Alto,Bajo,Regular,302207.1666666667
Team-oriented motivating productivity,2022-09-21,2023-09-06,40881.17,0.35,podcast,B2B,promotion,0.1,689581.23,648700.0599999999,9,9,2022,2023,3,3,Medio,Bajo,Regular,408811.69999999995
Seamless exuding model,2022-11-20,2023-08-05,68885.7,0.19,webinar,B2B,organic,0.21,162090.83,93205.12999999999,11,8,2022,2023,4,3,Bajo,Bajo,Regular,328027.14285714284
Cross-platform bandwidth-monitored model,2023-02-23,2023-09-16,48358.0,0.3,email,B2C,paid,0.39,507844.26,459486.26,2,9,2023,2023,1,3,Bajo,Medio,Regular,123994.8717948718
Face-to-face high-level synergy,2022-08-15,2024-06-03,98289.74,0.99,webinar,B2B,paid,0.79,811980.83,713691.09,8,6,2022,2024,3,2,Alto,Alto,Excelente,124417.39240506329
Compatible eco-centric access,2022-08-24,2023-09-04,4016.62,0.62,social media,B2B,referral,0.99,773055.56,769038.9400000001,8,9,2022,2023,3,3,Alto,Alto,Excelente,4057.191919191919
Down-sized web-enabled data-warehouse,2023-04-08,2024-06-03,41419.79,0.74,social media,B2B,organic,0.35,289139.49,247719.69999999998,4,6,2023,2024,2,2,Alto,Medio,Bueno,118342.25714285715
Streamlined non-volatile projection,2022-10-17,2024-01-19,52686.92,0.18,social media,B2B,organic,0.28,443069.55,390382.63,10,1,2022,2024,4,1,Bajo,Bajo,Regular,188167.5714285714
Synergized client-driven algorithm,2023-04-11,2023-12-05,16420.77,0.92,social media,B2C,organic,0.73,632069.31,615648.54,4,12,2023,2023,2,4,Alto,Alto,Excelente,22494.205479452055
